Mon Feb 29 10:13:21 2016	Price: 19.13
Mon Feb 29 10:13:27 2016	Price: 19.13
Mon Feb 29 10:13:33 2016	Price: 19.13
Mon Feb 29 10:13:39 2016	Price: 19.13
Mon Feb 29 10:13:45 2016	Price: 19.12
Mon Feb 29 10:13:51 2016	Price: 19.12
Mon Feb 29 10:13:58 2016	Price: 19.1101
Mon Feb 29 10:14:04 2016	Price: 19.1101
Mon Feb 29 10:14:10 2016	Price: 19.115
Mon Feb 29 10:14:16 2016	Price: 19.115
Mon Feb 29 10:14:23 2016	Price: 19.13
Mon Feb 29 10:14:29 2016	Price: 19.15
Mon Feb 29 10:14:35 2016	Price: 19.145
Mon Feb 29 10:14:42 2016	Price: 19.14
Mon Feb 29 10:14:48 2016	Price: 19.14
Mon Feb 29 10:14:54 2016	Price: 19.145
Mon Feb 29 10:15:00 2016	Price: 19.145
Mon Feb 29 10:15:06 2016	Price: 19.145
Mon Feb 29 10:15:13 2016	Price: 19.14
Mon Feb 29 10:15:19 2016	Price: 19.15
Mon Feb 29 10:15:25 2016	Price: 19.14
Mon Feb 29 10:15:31 2016	Price: 19.145
Mon Feb 29 10:15:38 2016	Price: 19.15
Mon Feb 29 10:15:44 2016	Price: 19.15
Mon Feb 29 10:15:50 2016	Price: 19.15
Mon Feb 29 10:15:57 2016	Price: 19.15
Mon Feb 29 10:16:03 2016	Price: 19.15
Mon Feb 29 10:16:09 2016	Price: 19.18
Mon Feb 29 10:16:15 2016	Price: 19.17
Mon Feb 29 10:16:22 2016	Price: 19.17
Mon Feb 29 10:16:28 2016	Price: 19.17
Mon Feb 29 10:16:34 2016	Price: 19.18
Mon Feb 29 10:16:40 2016	Price: 19.18
Mon Feb 29 10:16:47 2016	Price: 19.1799
Mon Feb 29 10:16:53 2016	Price: 19.175
Mon Feb 29 10:16:59 2016	Price: 19.18
Mon Feb 29 10:17:06 2016	Price: 19.185
Mon Feb 29 10:17:12 2016	Price: 19.18
Mon Feb 29 10:17:18 2016	Price: 19.18
Mon Feb 29 10:17:24 2016	Price: 19.18
Mon Feb 29 10:17:30 2016	Price: 19.18
Mon Feb 29 10:17:37 2016	Price: 19.195
Mon Feb 29 10:17:43 2016	Price: 19.19
Mon Feb 29 10:17:49 2016	Price: 19.19
Mon Feb 29 10:17:56 2016	Price: 19.185
Mon Feb 29 10:18:02 2016	Price: 19.1825
Mon Feb 29 10:18:08 2016	Price: 19.19
Mon Feb 29 10:18:14 2016	Price: 19.19
Mon Feb 29 10:18:21 2016	Price: 19.19
Mon Feb 29 10:53:39 2016	Price: 19.17
Mon Feb 29 10:53:45 2016	Price: 19.17
Mon Feb 29 10:53:51 2016	Price: 19.17
Mon Feb 29 10:53:58 2016	Price: 19.17
Mon Feb 29 10:54:04 2016	Price: 19.1761
Mon Feb 29 10:54:10 2016	Price: 19.16
Mon Feb 29 10:54:16 2016	Price: 19.15
Mon Feb 29 10:54:22 2016	Price: 19.16
Mon Feb 29 10:54:29 2016	Price: 19.165
Mon Feb 29 10:54:35 2016	Price: 19.16
Mon Feb 29 10:54:41 2016	Price: 19.15
Mon Feb 29 10:54:49 2016	Price: 19.14
Mon Feb 29 10:54:55 2016	Price: 19.13
Mon Feb 29 10:55:02 2016	Price: 19.13
Mon Feb 29 10:55:08 2016	Price: 19.115
Mon Feb 29 10:55:15 2016	Price: 19.115
Mon Feb 29 10:55:21 2016	Price: 19.1101
Mon Feb 29 10:55:27 2016	Price: 19.12
Mon Feb 29 10:55:33 2016	Price: 19.12
Mon Feb 29 10:55:39 2016	Price: 19.1189
Mon Feb 29 10:55:46 2016	Price: 19.12
Mon Feb 29 10:55:52 2016	Price: 19.135
Mon Feb 29 10:55:58 2016	Price: 19.14
Mon Feb 29 10:56:05 2016	Price: 19.14
Mon Feb 29 10:56:11 2016	Price: 19.145
Mon Feb 29 10:56:17 2016	Price: 19.13
Mon Feb 29 10:56:23 2016	Price: 19.13
Mon Feb 29 10:56:29 2016	Price: 19.13
Mon Feb 29 10:56:36 2016	Price: 19.13
Mon Feb 29 10:56:42 2016	Price: 19.1301
Mon Feb 29 10:56:48 2016	Price: 19.14
Mon Feb 29 10:56:54 2016	Price: 19.14
Mon Feb 29 10:57:00 2016	Price: 19.135
Mon Feb 29 10:57:07 2016	Price: 19.14
Mon Feb 29 10:57:13 2016	Price: 19.1425
Mon Feb 29 10:57:19 2016	Price: 19.155
Mon Feb 29 10:57:26 2016	Price: 19.16
Mon Feb 29 10:57:32 2016	Price: 19.17
Mon Feb 29 10:57:38 2016	Price: 19.17
Mon Feb 29 10:57:45 2016	Price: 19.15
Mon Feb 29 10:57:51 2016	Price: 19.155
Mon Feb 29 10:57:57 2016	Price: 19.15
Mon Feb 29 10:58:04 2016	Price: 19.155
Mon Feb 29 10:58:10 2016	Price: 19.15
Mon Feb 29 10:58:16 2016	Price: 19.15
Mon Feb 29 10:58:22 2016	Price: 19.14
Mon Feb 29 10:58:29 2016	Price: 19.135
Mon Feb 29 10:58:35 2016	Price: 19.139
Mon Feb 29 10:58:41 2016	Price: 19.13
Mon Feb 29 10:58:47 2016	Price: 19.14
Mon Feb 29 10:58:53 2016	Price: 19.145
Mon Feb 29 10:59:00 2016	Price: 19.15
Mon Feb 29 10:59:06 2016	Price: 19.14
Mon Feb 29 10:59:12 2016	Price: 19.1501
Mon Feb 29 10:59:18 2016	Price: 19.16
Mon Feb 29 10:59:24 2016	Price: 19.161
Mon Feb 29 10:59:31 2016	Price: 19.16
Mon Feb 29 10:59:37 2016	Price: 19.16
Mon Feb 29 10:59:43 2016	Price: 19.16
Mon Feb 29 10:59:49 2016	Price: 19.165
Mon Feb 29 10:59:56 2016	Price: 19.155
Mon Feb 29 11:00:02 2016	Price: 19.1599
Mon Feb 29 11:00:08 2016	Price: 19.15
Mon Feb 29 11:00:14 2016	Price: 19.15
Mon Feb 29 11:00:21 2016	Price: 19.14
Mon Feb 29 11:00:27 2016	Price: 19.14
Mon Feb 29 11:00:33 2016	Price: 19.14
Mon Feb 29 11:00:39 2016	Price: 19.14
Mon Feb 29 11:00:46 2016	Price: 19.14
Mon Feb 29 11:00:52 2016	Price: 19.14
Mon Feb 29 11:00:58 2016	Price: 19.14
